codigo_nif,nombre,cluster_modelo_negocio,PC1,PC2,cluster_label
B03016268,BORNAY SL,1,7.235999985603453,3.5165875039708623,C1
B78970365,CLARIOS PLASTICS SPAIN SL.,1,8.09678192750372,1.3110788036977736,C1
A03046125,FLEJES INDUSTRIALES SA,1,4.411581285921503,2.399333381953371,C1
A03006384,RIPAY SA,1,4.346432460117713,2.0763437219422944,C1
A03001948,DOMENECH HERMANOS SAU,1,4.23246955766011,1.6010602752857979,C1
B96956115,VALLES PLASTIC FILM SL,1,3.306782465343689,0.6588445416792073,C1
B54972146,INDUSTRIA PAPELERA DE MURO SL.,1,3.7686330728257715,-0.12997038359719626,C1
B54182324,BIOPOLIMEROS MAYA SL.,1,5.184121328046421,1.200020298373951,C1
B98246291,LAMINADOS CAREVA SL,1,4.306926923909642,0.9013331061989864,C1
B53888566,TERMOFORMAS DE LEVANTE SL,1,5.04039286103804,1.3332857288012667,C1
B46103297,PLASTICOS FERRANDO SL,1,4.315258966012866,1.186896918217995,C1
A53199402,DURPLASTICS SA,1,2.0479773022701835,0.3969846501246868,C1
B03834330,PLASTIMODUL SL,1,2.1126435372134953,3.014288138176509,C1
B46715934,DUCPLAST SL,1,4.532846511657113,-0.2849823948838261,C1
A46050746,BENIPLAST BENITEX SA,2,0.6225328124723614,1.2816856950801132,C2
B53048997,ALJUAN SL,1,1.3624693540253792,1.8024005147615154,C1
B53794798,PRACTICEL SL,1,4.91221249671079,-0.6415916218045111,C1
B46264800,VIDRIOS SAN MIGUEL SL.,2,0.006362922316978699,1.0962639163915766,C2
B04980181,JOVISA RECYCLING MACHINERY SL.,1,4.312480562958741,-0.5147814188390178,C1
A46185484,KAMAX GALOL COATINGS SA.,1,1.078357907099904,-0.12382914849556426,C1
A03009263,CARTONAJES BAÑERES SA,1,2.3817248979044194,-0.07288585133114002,C1
A46215661,ROCHLING INDUSTRIAL BOCAIRENT S.A.U.,1,2.1929209408734756,0.7377198123860225,C1
B46579058,PLA ALBERT SL,1,5.048409772883764,-0.001997865515637539,C1
B54596648,KARME NATURE SL.,1,1.8037858633707513,1.2589184825800956,C1
A20098364,KERKOM 360 SAU,1,1.5392929090428258,0.8591615065060673,C1
A46089348,VILA HERMANOS CERERIA SA,1,2.3236013515493013,1.1768335897431064,C1
B03006350,RESRG AUTOMOTIVE IBI SL,2,0.6883676223410156,0.692289214777632,C2
B03403136,INDUSTRIAS FRANCISCO GUILLEM SL,1,3.506314298577571,-0.19280177166716547,C1
A46011888,GANDIA BLASCO SA,1,1.2114588908179709,1.0906236545841619,C1
A46168795,ARTESANIA COBAVIPLAST SA,1,2.727935929977653,0.5559952795395883,C1
B53429106,HILEX TRANSFORMACIONES METALICAS SL,2,-0.05623464069187742,0.6645679907868807,C2
B54749460,INDUSTRIAS PEYGRAN S.L.U.,1,2.5044180685222543,0.494349623072715,C1
B03907862,SEYCA PLASTIC PACKAGING SL.,1,1.2549019853612402,-0.2520823401759283,C1
B97054118,POLYPRES MEDITERRANEO SL,1,1.8049939399416066,1.4059081941449934,C1
B96623129,CERERIA MOLLA 1899 SL.,1,5.175778079561109,-0.48256319621838745,C1
B41991647,MULTISCAN TECHNOLOGIES SL,1,2.0133755454684596,1.7359669558812882,C1
A46052536,GONZALO FERRI SA,1,2.19602814098231,1.4992574944921235,C1
B03442415,REGICARP SL,1,1.4037749291852668,-0.13279423024741707,C1
B53139564,TEXTILES FERRE SANZ SL,1,2.710705199660417,1.1235230310545024,C1
B54114871,COOVER IBI SL.,1,1.3740397759019887,0.16086202028293423,C1
B46162400,GAVIPLAS SL,1,2.0680063576012313,0.426521999185975,C1
A03027919,FRANCISCO JOVER SA,2,0.8465276307101236,1.8731910871387298,C2
B96330725,ENTIDAD MAYA SL,1,1.1582411643716584,0.7769266005944441,C1
B98699572,CLUSTAG SOCIEDAD LIMITADA.,1,3.153909604378279,0.5523737151689366,C1
B54884820,JMOLTO LT SL.,3,0.9244762738535287,-1.355790491743989,C3
B53285490,ENVASES METALICOS EUROBOX SL,1,3.8041830450311416,0.08410377611708583,C1
B46889408,PLAST-TEXTIL SL,2,0.12803152812135818,1.0357628732819537,C2
B53068334,FDJ NINCO SLU,1,2.146553291399054,1.1015683362583568,C1
B54982723,IBIDE FITTING PLASTIC SL.,1,3.3751250943724695,-0.6547234482535006,C1
A03218112,INDUSTRIAS CLIMBER SA,1,2.5721782313596324,-1.337637912680707,C1
B53264826,DICARCONO SL,3,0.7602471743683685,-0.6577851845413993,C3
B97700207,CAMPOS MONTAVERNER SL,3,0.3497492329227854,0.17829406743852166,C3
B53020418,MAPELOR SL,2,0.8840364282560729,1.0344956276410033,C2
B03384070,CCL LABEL SPAIN S.L.U.,1,1.910887694969444,0.491688205349736,C1
B96563119,MOIXENT INDUSTRIAL PLASTIC SL,1,2.725771073673968,-1.3820330899090707,C1
B03561099,NONWOVENS IBERICA SL,1,2.092498119081655,0.716237549023586,C1
A03003324,INDUSTRIAL JUGUETERA SOCIEDAD ANONIMA,1,1.6784017388695724,1.5860341507709361,C1
A96345004,BREVIA SA,1,3.326890544704642,0.46689193667547146,C1
B53110730,HILADOS BENISAIDO SL,2,0.4353415342042478,0.9344604001156617,C2
B46287132,PLASTICOS VIDAL SL,1,2.1253901654358582,2.2083666168173677,C1
B53160099,VICEDO-MARTI SL,3,0.8445761515920679,-0.40645889790812806,C3
B97793665,ENVASES SANZ BELDA SL,1,1.2433918609418158,-0.3638849813830061,C1
B42655779,LEMOINE SPAIN COTTON INDUSTRY SL.,3,-0.22920734427156964,-0.06165570020724405,C3
A03061314,PEREZ CERDA SA,2,-0.434268945159474,0.6439385025691983,C2
A03197308,MINILAND SA,2,-0.37240421986992267,1.9042845245154472,C2
B46089504,CANDIDO PENALBA SL,1,3.1357499238961872,-0.2124861863862234,C1
A46572467,"WINTEX, SOCIEDAD ANONIMA",2,-0.33233240691029425,3.6453611593205695,C2
B03051927,JOSE ALBERO PUERTO SL,1,3.7798398191032443,-0.4585807494389744,C1
A46251401,PLASTICOS BIOSCA SA,3,0.7809018296181229,-0.2823149357524603,C3
A46247748,PENALBA SOLER SA,1,1.997173217913027,0.767919375006358,C1
A03195260,ONDULADOS DEL PAPEL SA,1,6.914477848573952,-0.2691663347733738,C1
B03164050,OBLEAS QUINTIN SL,1,1.265883526579332,-1.0320929380985446,C1
B53168365,GREAT PLASTIC SL,1,0.8335694665119142,0.053369433099225,C1
B96238720,TEXTIL CASA MODA SOCIEDAD LIMITADA,2,-0.4940214020375514,1.3092532196096582,C2
A46122909,MOPATEX SA,2,0.8229166227655637,1.5624205841532035,C2
A46096566,"PIEL, SA",2,0.3266882202216072,2.1799340777035394,C2
B98704521,SAMARPLAST PLASTICS SOCIEDAD LIMITADA.,1,3.349831626132433,0.43911929154286805,C1
B03867058,MORA FERRE E HIJOS SL,1,1.360430130544022,1.8352564064733285,C1
B46283941,RAFSOL SL,1,2.9369591703634295,0.16679192044454785,C1
B96490313,HILATURAS MAR SL,3,-0.1495830098903917,0.010131343608332932,C3
B46661005,CREACIONES EUROMODA SL,2,-0.1857504436862963,1.9607808899469672,C2
B03016821,MANUFACTURAS ALHAMBRA S.L.,2,-0.4009571409829612,3.5640907174950622,C2
B46182002,REBOCA SL,1,1.415658061844014,1.1455792131813676,C1
B98669609,BERVIBOX SOCIEDAD LIMITADA.,1,1.2887717343267042,-0.6626397415281411,C1
B53083762,COLORPRINT FASHION SL,2,-0.5685405716561996,0.3235111401467999,C2
A46013702,MANUEL REVERT Y CIA SA,2,0.02027962043219511,2.1191867409749454,C2
B53005906,CREACION Y DISEÑO IBENSE SL,1,1.8214714881901475,0.37443445121534735,C1
B53078978,RIBETES Y CORDONES MARTI S.L.,1,3.112903362990326,2.1894070883677355,C1
A03017308,"MOLTO Y COMPAÑIA, SOCIEDAD ANONIMA",2,-0.12671710009802511,3.3857157861934266,C2
B02757631,SCRIMTECH FABRICS SOCIEDAD LIMITADA.,1,2.7915942424042988,0.8603046253255016,C1
B96997432,CASA MEDITERRANEA 1967 SL,2,0.6569227950074362,2.686347515243048,C2
B03434198,PLASTICOS INDEN SL,1,1.4064132620334786,-0.2253600054090439,C1
B03025806,TEX-DELTA SL,1,3.9694637682324805,1.1765036136497244,C1
B03058757,JUGUETES PICO SL,1,0.8183746717522141,0.8086488895867459,C1
B46203550,PINTURAS AYELENSES SL,2,-0.05949985907482369,0.577745686730779,C2
B53171724,HERBES DEL MOLI SL.,2,0.9209629090030587,1.466036864840919,C2
B03718905,MANIPULADOS VAZQUEZ SL,1,1.6130135470064182,0.8909344115074478,C1
A03078862,COMERSAN SA,2,-1.376818461976319,2.2042904952324878,C2
B03120318,PEREZ LINARES SL,1,2.3155679893186596,0.5409919952468369,C1
B54710835,PROTEKU EUROPA SL.,1,3.152403623659501,-0.2832262713061079,C1
B03093713,ROTATEX SL,2,-0.2769561036431012,0.5334658544991882,C2
B03308681,BRILDOR SL,2,-0.832845411580467,1.1785107190105726,C2
