id,nombre,codigo_nif,localidad,codigo_primario_cnae_2009,sector,actividad,literal_codigo_cnae_2009_primario,fecha_constitucion,año,antiguedad,segmentacion_de_antiguedad,nombre_marca,marca_sn,nombre_auditor,auditor_sn,no_of_companies_in_corporate_group,grupos_corporativos,numero_de_participadas,participadas,remuneracion_consejo,consejo,importador_exportador,importacion_percent,importacion_euros,exportacion_percent,exportacion_euros,total_activo,fondos_propios,gastos_de_personal,coste_por_persona,personal_porcentaje,rendimiento,ebitda,inmovilizado,ingresos_de_explotacion,ingresos_de_explotacion_mil_eur_ano_1,ingresos_de_explotacion_mil_eur_ano_2,numero_empleados,valor_agregado,segmentacion_tamano_1,segmentacion_tamano_2,crecimiento,crece,capitalizacion,rotacion_de_activos,inmovilizado_tactivo,va_porcentaje,productividad_va_pax,productividad_ventas_pax,ultimo_ano_disponible,ult_año_disp,materiales,resultado_explotacion,resultado_del_ejercicio,deudores,deudores_sin_iva,existencias,acreedores_comerciales,acreedores_comerciales_sin_iva,deudas_financieras,dotaciones_para_amortiz_de_inmovil,cash_flow,fondo_de_maniobra,margen,coste,rotacion_stocks,competitividad,nofs_ventas,segmentacion_tamano_2_grp,segmentacion_tamano_1_grp,localidad_grp,sector_grp,inmovilizado_empleado,ebitda_porc,clientes_proveedores_sin_iva
488,DALBER SL,B03324258,CASTALLA,2740,Mueble,Industria,Fabricación de lámparas y aparatos eléctricos de iluminación,1988-03-11,1988,37,Entre 25 y 50 años,DIDUS,Sí,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,Importador / Exportador,0.0,0.0,0.0,0.0,1809.87741,1612.85878,505.11724,63.139655,0.416284342615754,-0.0930032437942855,-168.32447,360.62632,1213.39476,1418.5898,1601.2702,8,349.5171,De 1 a 5M€,De 1 - 5M€,-0.144647198224603,Decrece,0.891142555340254,0.670429252995649,0.199254556141457,0.288048961081718,43.6896375,151.674345,2024-12-31,2024,395.87956,-208.795,-148.82704,461.14177,381.108900826446,142.65156,36.04559,29.7897438016529,0.0,40.47053,-108.35651,567.74774,0.326257845385784,0.6737421546142159,2.77515058370199,0.905414650059713,0.407098112921465,De 1 - 5M€,De 1 a 5M€,,Otros,45.07829,-0.13872193580265668,12.793292327854797
489,REKLIN COAT SL.,B54907969,IBI,1419,Textil,Industria,Confección de otras prendas de vestir y accesorios,2016-01-14,2016,9,Menor de 10 años,R REKLIN,Sí,Sin auditor,No,2.0,Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,866.00044,163.01336,200.73375,25.09171875,0.165757761658516,0.100002512700802,86.60222,411.40139,1211.00664,688.3815,627.83133,8,292.88026,De 1 a 5M€,De 1 - 5M€,0.759208578382772,Crece,0.188237040618594,1.39839032876242,0.475059100431866,0.241848599608009,36.6100325,151.37583,2024-12-31,2024,661.25651,51.48884,35.88158,250.94311,207.391,61.5402,176.42818,145.80841322314,0.0,35.11338,70.994959,136.05513,0.546038715361627,0.45396128463837304,10.7451147380087,5.86724864795553,0.101669786696512,De 1 - 5M€,De 1 a 5M€,,Textil,51.42517375,0.07151258889876937,1.4223527670012854
490,ANTONIO GINER SL,B03827193,COCENTAINA,1391,Textil,Industria,Fabricación de tejidos de punto,1993-01-14,1993,32,Entre 25 y 50 años,Sin marca,No,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,Importador / Exportador,0.0,0.0,0.0,0.0,605.46384,351.33576,281.51777,35.18972125,0.233453174463397,0.130646266175037,79.10159,61.1769,1205.88538,910.77901,851.7758,8,360.61936,De 1 a 5M€,De 1 - 5M€,0.324015339352188,Crece,0.580275380277045,1.99167200472286,0.101041376806252,0.299049450288551,45.07742,150.7356725,2024-12-31,2024,698.28579,71.51459,66.58495,248.14282,205.076710743802,160.007,72.47593,59.8974628099174,0.0,7.587,74.17195,335.67389,0.579064811284137,0.420935188715863,4.36409525833245,2.52709399719228,0.253080643480299,De 1 - 5M€,De 1 a 5M€,El comtat,Textil,7.6471125,0.06559627582515347,3.4237962865740426
492,URDIDOS JORDI SL,B53472353,COCENTAINA,1320,Textil,Industria,Fabricación de tejidos textiles,2000-07-10,2000,25,Mayor de 50 años,Sin marca,No,Sin auditor,No,2.0,Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,323.34755,193.15144,162.44742,27.07457,0.13557412447498,0.195269764685089,63.14,7.07688,1198.21847,1320.40998,1371.676569,6,218.66763,De 1 a 5M€,De 1 - 5M€,-0.0925405834936206,Decrece,0.597349322733387,3.70566738483097,0.0218862954118564,0.182493957049419,36.444605,199.703078333333,2024-12-31,2024,891.1289,61.29741,41.23496,259.03891,214.081743801653,40.761,81.31817,67.2050991735537,0.0,1.84259,43.077549,218.48174,0.743711537012111,0.256288462987889,21.862292387331,16.2592390739901,0.156597189349033,De 1 - 5M€,De 1 a 5M€,El comtat,Textil,1.17948,0.0526948979512893,3.1854985177359523
493,RH PLUS SL,B97446249,ALBAIDA,1320,Textil,Industria,Fabricación de tejidos textiles,2004-04-01,2004,21,Entre 10 y 25 años,Sin marca,No,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,1387.35687,354.81384,26.01888,13.00944,0.0217370135219067,0.0238522046602184,33.09152,353.50642,1196.98504,990.95547,568.80558,2,59.47376,De 1 a 5M€,De 1 - 5M€,0.207910018398708,Crece,0.255748068627793,0.862780922402467,0.254805686730048,0.0496863018438393,29.73688,598.49252,2024-12-31,2024,1090.7236,27.4437,22.051,702.45949,580.545033057851,211.67539,1028.3285,849.85826446281,0.0,5.64782,27.69882,-114.19362,0.911225757675301,0.088774242324699,5.15281252109657,4.695375493695,-0.048152516095739,De 1 - 5M€,De 1 a 5M€,La Vall d'Albaida,Textil,176.75321,0.02764572563078984,0.6831080632307669
494,TEX AGUILA SL,B53175279,COCENTAINA,1413,Textil,Industria,Confección de otras prendas de vestir exteriores,1997-02-25,1997,28,Entre 25 y 50 años,Sin marca,No,Sin auditor,No,2.0,Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,1199.21909,848.01744,300.08881,37.51110125,0.251116495445162,0.176292682265423,211.41355,267.673669,1195.01831,1080.21362,986.93989,8,511.50236,De 1 a 5M€,De 1 - 5M€,0.10627961717424,Crece,0.707141378144672,0.996497070439397,0.223206644417243,0.428028889364883,63.937795,149.37728875,2024-12-31,2024,551.08132,144.058,110.582709,168.59934,139.338297520661,106.775,202.17403,167.085975206612,0.0,67.35555,177.93826,73.200309,0.461148850514265,0.538851149485735,5.1611455865137,2.38005635455757,0.0661306372067635,De 1 - 5M€,De 1 a 5M€,El comtat,Textil,33.459208625,0.1769123939197216,0.8339317369298093
496,VICENTE BARCELO VAÑO SL,B03027158,BANYERES DE MARIOLA,1392,Textil,Industria,"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir",1970-01-30,1970,55,Mayor de 50 años,BARCELO INSPIRACION EN TU HOGAR,Sí,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,Importador / Exportador,0.0,0.0,0.0,0.0,2197.069,1620.04541,345.3559,43.1694875,0.290316523743444,0.019254752581735,42.30402,577.00502,1189.584029,1254.76428,1863.449859,8,389.33932,De 1 a 5M€,De 1 - 5M€,-0.051946211761782,Decrece,0.737366650751524,0.54144136074015,0.26262489707879,0.327290305273592,48.667415,148.698003625,2024-12-31,2024,599.59962,18.70164,7.615809,294.04901,243.015710743802,1021.83224,122.08065,100.893099173554,212.88462,23.60238,31.21819,1193.8006,0.504041417321348,0.495958582678652,0.586788708095568,0.295765812096653,0.978455345057636,De 1 - 5M€,De 1 a 5M€,L'Alcoià,Textil,72.1256275,0.0355620275396283,2.4086455142563508
497,SOLER TEXTIL 2000 S.L.U.,B96649827,AGULLENT,1320,Textil,Industria,Fabricación de tejidos textiles,1997-04-25,1997,28,Entre 25 y 50 años,Sin marca,No,Sin auditor,No,2.0,Grupo Corporativo,1,Participadas,,No consejo,No realiza actividad exterior,,,,,746.76919,393.53383,318.85294,35.4281044444444,0.268248399782859,0.182093867584441,135.98209,238.30868,1188.64806,1239.04973,1482.1725,9,455.39963,De 1 a 5M€,De 1 - 5M€,-0.0406776812743423,Se mantiene,0.52698187776065,1.5917208100136,0.319119593029809,0.383124025794481,50.5999588888889,132.072006666667,2024-12-31,2024,605.23496,76.00949,58.069972,427.61138,353.397834710744,69.91107,173.81926,143.652280991736,35.50737,59.9726,118.042572,323.70319,0.509179277169728,0.490820722830272,8.65721208386597,4.40807299116792,0.235272855885541,De 1 - 5M€,De 1 a 5M€,La Vall d'Albaida,Textil,26.478742222222223,0.11440063259767572,2.460092051939462
498,GUITARRAS PC SOCIEDAD LIMITADA.,B98215288,ALBAIDA,3220,Cultura,Industria,Fabricación de instrumentos musicales,2010-01-15,2010,15,Entre 10 y 25 años,Sin marca,No,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,Importador / Exportador,92.0,902.98749892,0.0,0.0,1462.08966,1000.1412,104.0748,26.0187,0.0878742994296143,0.0675587774829076,98.77699,330.99585,1184.35994,966.61307,1074.19196,4,202.851789,De 1 a 5M€,De 1 - 5M€,0.225267872696983,Crece,0.684049157423082,0.810046040541727,0.226385466675142,0.171275456175932,50.71294725,296.089985,2024-12-31,2024,798.95047,82.13319,65.03566,165.67358,136.920314049587,532.91614,0.311,0.25702479338843,0.0,16.6438,81.67946,698.27872,0.674584172443387,0.325415827556613,1.49920486551599,1.0113398735272,0.565351297896988,De 1 - 5M€,De 1 a 5M€,La Vall d'Albaida,Otros,82.7489625,0.0834011575906561,532.7124758842448
500,AMBATEX SL,B53357539,COCENTAINA,1392,Textil,Industria,"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir",1999-04-08,1999,26,Entre 25 y 50 años,Sin marca,No,Sin auditor,No,2.0,Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,984.65627,148.09931,101.58782,25.396955,0.0871086438650061,0.119524633707964,117.69068,579.7434,1166.21974,1169.11409,1506.84765,4,219.2785,De 1 a 5M€,De 1 - 5M€,-0.00247567797254078,Se mantiene,0.150407116180756,1.18439274245418,0.588777442101699,0.188025028627967,54.819625,291.554935,2024-12-31,2024,854.71676,64.69316,20.13548,88.05309,72.7711487603306,171.7,50.3116,41.5798347107438,271.74973,52.99752,73.133,209.44149,0.732895123178073,0.26710487682192696,4.97796598718695,3.64832699535564,0.173973486377093,De 1 - 5M€,De 1 a 5M€,El comtat,Textil,144.93585,0.1009163847629607,1.7501548350678577
501,BELLTX SOCIEDAD LIMITADA.,B09874504,ATZENETA D'ALBAIDA,1392,Textil,Industria,"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir",2022-03-09,2022,3,Menor de 10 años,Sin marca,No,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,185.84262,23.2745,833.06392,22.5152410810811,0.714576227707159,0.339138944554269,63.02647,58.03971,1165.815329,765.64676,,37,896.16877,De 1 a 5M€,De 1 - 5M€,0.522654296871837,Crece,0.125237687673581,6.27313222876432,0.312305702534758,0.768705598311789,24.2207775675676,31.5085224054054,2023-12-31,2023,163.34201,49.51112,35.87409,68.40575,56.5336776859504,11.7552,5.84033,4.82671900826446,18.77392,13.51535,49.389439,74.32062,0.140109677696647,0.8598903223033529,13.8952982509868,1.94686575944454,0.0544358588354828,De 1 - 5M€,De 1 a 5M€,,Textil,1.5686408108108107,0.05406213868714708,11.71265151113037
502,HILATEX DE MURO SL.,B54972120,MURO DE ALCOY,1310,Textil,Industria,Preparación e hilado de fibras textiles,2016-11-28,2016,9,Menor de 10 años,EUROFIL,Sí,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,2690.85311,2106.95993,342.67757,26.3598130769231,0.294845353728526,0.00270255926381652,7.27219,891.43832,1162.22815,1208.61189,1295.45639,13,375.70764,De 1 a 5M€,De 1 - 5M€,-0.0383776962511928,Se mantiene,0.783008155357837,0.43191809529878,0.331284646005816,0.323264963079753,28.9005876923077,89.4021653846154,2024-12-31,2024,499.34383,-7.3568,3.99376,247.94943,204.916884297521,1525.269,63.81911,52.7430661157025,318.8944,14.62899,18.62275,1709.399319,0.429643551483416,0.570356448516584,0.327380829217666,0.140657062152664,1.44329907874097,De 1 - 5M€,De 1 a 5M€,El comtat,Textil,68.57217846153846,0.00625711053376224,3.8851909717951303
503,TEXTILES OLCINA S L,B03102647,COCENTAINA,1320,Textil,Industria,Fabricación de tejidos textiles,1983-12-23,1983,42,Entre 25 y 50 años,TEXOL,Sí,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,Importador / Exportador,0.0,0.0,0.0,0.0,1160.58292,587.50985,433.70191,25.5118770588235,0.375109012387303,0.0226075358751618,26.23792,194.02333,1156.202319,1104.62055,1123.33644,17,459.939829,De 1 a 5M€,De 1 - 5M€,0.0466963691740117,Se mantiene,0.506219624531438,0.996225516570587,0.167177481812329,0.39780220247076,27.0552840588235,68.0119011176471,2024-12-31,2024,474.85744,25.89292,16.97965,284.0114,234.720165289256,528.614,212.59474,175.698132231405,35.74679,0.345,17.32465,600.03066,0.410704452150472,0.589295547849528,0.898306590442175,0.368938516090712,0.508246717206118,De 1 - 5M€,De 1 a 5M€,El comtat,Textil,11.413137058823528,0.02269319094835685,1.3359286311599228
504,BARCELO FRANCES SL,B03894474,BANYERES DE MARIOLA,1399,Textil,Industria,Fabricación de otros productos textiles n.c.o.p.,1993-11-22,1993,32,Entre 25 y 50 años,Sin marca,No,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,1891.98695,423.2013,255.45429,28.38381,0.221195791121321,0.0203222437660048,38.44942,595.55309,1154.87862,1193.31664,1000.70783,9,295.0291,De 1 a 5M€,De 1 - 5M€,-0.0322110818801622,Se mantiene,0.223680876868627,0.610405172192123,0.314776531624597,0.25546329708658,32.7810111111111,128.319846666667,2024-12-31,2024,639.61961,32.19828,3.77888,71.78372,59.3253884297521,1217.87032,589.40772,487.113818181818,83.80581,6.25114,10.03002,700.24632,0.553841415819093,0.44615858418090704,0.525195170204985,0.290874836647678,0.684125479998871,De 1 - 5M€,De 1 a 5M€,L'Alcoià,Textil,66.17256555555555,0.03329303992137286,0.12178958226064646
505,PROFILBER COMPOSITES SL.,B42693408,COCENTAINA,2221,Plástico,Industria,"Fabricación de placas, hojas, tubos y perfiles de plástico",2020-01-23,2020,5,Menor de 10 años,PIF,Sí,Sin auditor,No,2.0,Grupo Corporativo,0,No participadas,,No consejo,Importador / Exportador,0.0,0.0,0.0,0.0,749.01489,400.50688,138.74575,27.74915,0.121622377379631,0.462963226271777,346.76635,465.59808,1140.7913,930.58389,707.93914,5,485.55209,De 1 a 5M€,De 1 - 5M€,0.225887652106249,Crece,0.5347115062025,1.52305556969635,0.62161391744829,0.425627448245792,97.110418,228.15826,2024-12-31,2024,399.31118,256.99773,199.30601,111.19044,91.8929256198347,6.712,98.49391,81.3999256198347,0.0,89.76862,289.07463,19.40853,0.350030001105373,0.649969998894627,59.4921305125149,20.8240305090566,0.015081636755119,De 1 - 5M€,De 1 a 5M€,El comtat,Plástico,93.119616,0.30397001625100045,1.1289067516966278
506,SOLUCIONES ENERGETICAS LEVANTE SOCIEDAD LIMITADA,B98196785,LA POBLA DEL DUC,2830,Maquinaria,Industria,Fabricación de maquinaria agraria y forestal,2009-11-10,2009,16,Entre 10 y 25 años,Sin marca,No,Sin auditor,No,2.0,Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,1783.79788,643.91965,359.31447,51.3306385714286,0.315921629550462,0.0990645638619102,176.711159,769.61666,1137.35318,781.60398,1403.17724,7,536.02563,De 1 a 5M€,De 1 - 5M€,0.455152748838357,Crece,0.360982405697219,0.637602047155701,0.431448354451458,0.471292153946411,76.57509,162.479025714286,2024-12-31,2024,608.92998,155.03527,119.09176,163.44922,135.082,840.132,181.30773,149.841099173554,349.11909,21.67589,140.76765,822.27349,0.535392163760425,0.464607836239575,0.724802745282884,0.388053710096499,0.725696217622081,De 1 - 5M€,De 1 a 5M€,,Otros,109.94523714285715,0.1553705235167145,0.9015016623946464
507,PERFIL 10 FACTORY SOCIEDAD LIMITADA.,B02648236,BOCAIRENT,2512,Metal,Industria,Fabricación de carpintería metálica,2020-10-07,2020,5,Menor de 10 años,Sin marca,No,Sin auditor,No,3.0,Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,1198.36252,72.21087,921.19119,32.8996853571429,0.81216668182514,0.104950445212522,125.76868,1085.22084,1134.23908,1140.83293,996.63551,28,1046.959869,De 1 a 5M€,De 1 - 5M€,-0.00577985595138808,Se mantiene,0.0602579509913244,0.946490783106268,0.90558643306034,0.923050428662712,37.3914238928571,40.5085385714286,2024-12-31,2024,0.81523,63.20457,3.37702,82.91873,68.5278760330579,,0.85391,0.705710743801653,78.32472,62.56411,65.94113,82.064819,0.000718746174748273,0.9992812538252517,,,,De 1 - 5M€,De 1 a 5M€,,Metal,38.75788714285714,0.11088374771921983,97.10476513918333
508,TROQUELADOS CRUNE SL,B03507746,IBI,2599,Metal,Industria,Fabricación de otros productos metálicos n.c.o.p.,1990-07-19,1990,35,Entre 25 y 50 años,NEINOX BY CRUNE,Sí,Sin auditor,No,2.0,Grupo Corporativo,0,No participadas,,No consejo,Importador,1.0,5.1744257,0.0,0.0,1948.43611,1814.54515,457.5587,35.1968230769231,0.403527839549058,0.0803152072561414,156.48905,818.03711,1133.89624,1602.36456,1396.60955,13,616.45367,De 1 a 5M€,De 1 - 5M€,-0.292360634835808,Decrece,0.93128285843563,0.581951973780654,0.419842922126915,0.54365968265315,47.4195130769231,87.2227876923077,2024-12-31,2024,407.48577,17.37056,13.21904,242.84559,200.698834710744,76.3294,39.65944,32.7763966942149,0.9,139.11849,152.33753,279.51555,0.359367776014497,0.640632223985503,5.33851661351982,1.91849084261706,0.215409337644976,De 1 - 5M€,De 1 a 5M€,,Metal,62.92593153846154,0.1380100263847775,6.12327329886655
509,FUNDICIONES BLAS DIAZ MARTINEZ SL,B53616561,IBI,2454,Metal,Industria,Fundición de otros metales no férreos,2001-12-18,2001,24,Entre 10 y 25 años,Sin marca,No,Sin auditor,No,2.0,Grupo Corporativo,0,No participadas,,No consejo,Importador,67.0,603.77986057,0.0,0.0,847.53625,341.38021,179.3668,29.8944666666667,0.158349477625884,0.0614640848695262,52.09304,223.69344,1132.72745,882.67103,888.227969,6,231.563479,De 1 a 5M€,De 1 - 5M€,0.283295147910315,Crece,0.402791278839106,1.33649439773225,0.263933772744234,0.204430005646989,38.5939131666667,188.787908333333,2024-12-31,2024,693.60553,23.10686,17.14452,361.61804,298.857884297521,187.64,63.76133,52.6953140495868,0.0,28.98618,46.1307,485.49671,0.612332234025052,0.387667765974948,3.69646946280111,2.26346740416239,0.38297171155156,De 1 - 5M€,De 1 a 5M€,,Metal,37.28224,0.04598903293109035,5.671431885125362
510,PEPRI SL,B03116100,IBI,3240,Juguete,Industria,Fabricación de juegos y juguetes,1982-11-03,1982,43,Entre 25 y 50 años,Sin marca,No,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,Importador / Exportador,0.0,0.0,0.0,0.0,1479.26662,710.13292,365.91199,28.1470761538462,0.323479378706205,0.106373170240264,157.35428,1004.46956,1131.17563,1435.49246,1024.69139,13,523.26627,De 1 a 5M€,De 1 - 5M€,-0.211994725489537,Decrece,0.48005742196765,0.764686781075341,0.679032127420005,0.46258622986777,40.2512515384615,87.01351,2024-12-31,2024,331.37136,47.28017,9.13282,244.06533,201.706884297521,230.73173,149.28723,123.377876033058,161.38218,110.07411,119.20693,325.509829,0.292944217689697,0.707055782310303,1.43617594337805,0.420719438197646,0.273220824483695,De 1 - 5M€,De 1 a 5M€,,Juguete,77.26688923076924,0.13910685116156543,1.6348707789674983
511,VISOMO'S PACKAGING SOCIEDAD LIMITADA.,B04944955,ONTINYENT,1394,Textil,Industria,"Fabricación de cuerdas, cordeles, bramantes y redes",2021-03-12,2021,4,Menor de 10 años,Sin marca,No,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,992.08813,537.26939,184.74198,30.79033,0.164048592032574,0.177977928231033,176.56979,301.60518,1126.14182,958.89638,789.00434,6,361.310989,De 1 a 5M€,De 1 - 5M€,0.174414507644715,Crece,0.541554095602374,1.13512276374076,0.304010471327784,0.320839686958788,60.2184981666667,187.690303333333,2024-12-31,2024,689.60033,152.7462,117.49006,230.53641,190.525958677686,166.18049,242.90841,200.750752066116,20.857739,23.82359,141.31365,153.80849,0.612356559141015,0.38764344085898494,4.14970692407996,2.54110025347325,0.138486728617866,De 1 - 5M€,De 1 a 5M€,La Vall d'Albaida,Textil,50.26753,0.15679178844454955,0.9490672224975648
512,IRR-LOP SL.,B54470604,IBI,2599,Metal,Industria,Fabricación de otros productos metálicos n.c.o.p.,2010-01-13,2010,15,Entre 10 y 25 años,Sin marca,No,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,Importador,4.0,29.0643072,0.0,0.0,1995.39657,46.24476,502.19549,50.219549,0.44683578078812,-0.0525762304983816,-104.91043,904.68971,1123.89274,1441.40483,1343.86234,10,397.28506,De 1 a 5M€,De 1 - 5M€,-0.22027960736055,Decrece,0.0231757239113626,0.563242794388486,0.453388425940814,0.3534901915996,39.728506,112.389274,2024-12-31,2024,576.19334,-182.76581,-181.088539,744.49801,615.287611570248,306.29297,296.91712,245.386049586777,432.1683,77.85538,-103.233159,753.87386,0.512676449889693,0.48732355011030704,1.88118369154865,0.96443857657355,0.601653972765649,De 1 - 5M€,De 1 a 5M€,,Metal,90.468971,-0.0933455891885199,2.5074270220592187
513,VICENTE FERRE SL,B03734803,BANYERES DE MARIOLA,1310,Textil,Industria,Preparación e hilado de fibras textiles,1992-01-01,1992,33,Entre 25 y 50 años,Sin marca,No,Sin auditor,No,2.0,Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,980.28209,766.63672,70.0342,70.0342,0.0624712192915684,0.241875988981906,237.1067,6.36664,1121.06344,1171.75909,1278.64883,1,307.147459,De 1 a 5M€,De 1 - 5M€,-0.0432645672925824,Se mantiene,0.782057254560266,1.14361310018425,0.00649470194849729,0.273978659940958,307.147459,1121.06344,2024-12-31,2024,775.15707,229.91947,176.45507,203.73757,168.378157024793,38.1842,150.45045,124.339214876033,0.0,7.18723,183.6423,91.47132,0.691447996912646,0.308552003087354,20.300466423285,14.0367168447729,0.073343879761845,De 1 - 5M€,De 1 a 5M€,L'Alcoià,Textil,6.36664,0.21150158995462381,1.3541838525574343
514,ANTONIO GARCIA JUAN SL,B03035995,IBI,3240,Juguete,Industria,Fabricación de juegos y juguetes,1973-05-15,1973,52,Mayor de 50 años,Sin marca,No,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,639.37726,374.53061,316.81738,28.80158,0.282677918343737,0.205256330198544,131.23623,191.43046,1120.77159,1240.97662,612.106029,11,448.05361,De 1 a 5M€,De 1 - 5M€,-0.096863251138446,Decrece,0.585774054585551,1.75291124679661,0.299401420688624,0.399772454974523,40.7321463636364,101.888326363636,2024-12-31,2024,518.57797,107.09603,78.31687,222.456,183.847933884298,35.47187,117.96764,97.4939173553719,4.51573,24.1402,102.457069,139.960229,0.462697283395629,0.537302716604371,14.6194144825181,6.76436336589585,0.10869822862741,De 1 - 5M€,De 1 a 5M€,,Juguete,17.402769090909093,0.11709453663078666,1.8857374785152992
515,FERCASE 2013 SL.,B54711353,MURO DE ALCOY,1391,Textil,Industria,Fabricación de tejidos de punto,2013-05-28,2013,12,Entre 10 y 25 años,Sin marca,No,Sin auditor,No,2.0,Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,847.84737,222.21254,334.28948,33.428948,0.30040977614319,0.21634313732671,183.42596,555.95604,1112.7783,1043.50592,1263.26614,10,517.715439,De 1 a 5M€,De 1 - 5M€,0.0663842712075844,Crece,0.262090262779255,1.31247479130589,0.655726560784166,0.465245807722886,51.7715439,111.27783,2024-12-31,2024,258.03816,38.97391,28.41868,237.15727,195.997743801653,28.253,0.0,0.0,0.0,144.45205,172.870729,265.41027,0.231886405405282,0.768113594594718,9.13312426998903,2.11784735708749,0.201523289770885,De 1 - 5M€,De 1 a 5M€,El comtat,Textil,55.595604,0.16483603247834722,
516,ARTISFABRICS SL.,B42567685,MURO DE ALCOY,1391,Textil,Industria,Fabricación de tejidos de punto,2018-04-17,2018,7,Menor de 10 años,ARTISFABRICS,Sí,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,Importador / Exportador,0.0,0.0,0.0,0.0,496.28496,22.55308,177.28179,88.640895,0.159410745495779,-0.00757421502356227,-3.758969,20.69672,1112.1069,1086.91481,652.26843,2,173.522819,De 1 a 5M€,De 1 - 5M€,0.0231776122362342,Se mantiene,0.045443811152367,2.24086359578578,0.0417032988466948,0.156030700825613,86.7614095,556.05345,2024-12-31,2024,884.46944,-11.8878,-14.18408,349.99006,289.247983471074,46.42402,305.25257,252.274851239669,157.78508,8.12883,-6.05525,91.16151,0.795309731465563,0.20469026853443695,19.0519786955115,15.1522240602149,0.0749902300142234,De 1 - 5M€,De 1 a 5M€,El comtat,Textil,10.34836,-0.003380042871777884,1.1465589298724008
517,ACEITUNAS DURA SL,B53736054,CASTALLA,1032,Alimentación,Industria,Elaboración de zumos de frutas y hortalizas,2003-01-28,2003,22,Entre 10 y 25 años,Sin marca,No,Sin auditor,No,0.0,No Grupo Corporativo,0,No participadas,,No consejo,No realiza actividad exterior,,,,,458.32325,175.34549,116.59287,29.1482175,0.105172548913909,0.0725361172491249,33.244989,41.8833,1108.58652,882.33299,590.62358,4,149.83786,De 1 a 5M€,De 1 - 5M€,0.25642646547762,Crece,0.382580394950507,2.4187874387782,0.0913837558971752,0.135161178037777,37.459465,277.14663,2024-12-31,2024,846.3152,23.87757,15.976559,186.74736,154.336661157025,216.27348,231.18452,191.06158677686,39.64071,9.36742,25.343979,171.836319,0.763418267074003,0.23658173292599705,3.9131714161163,2.98738654125503,0.161961697297352,De 1 - 5M€,De 1 a 5M€,,Alimentación,10.470825,0.029988628221818893,0.8077848810984393
519,EXPORT TEDELMUN SL,B54665286,MURO DE ALCOY,1310,Textil,Industria,Preparación e hilado de fibras textiles,2012-10-29,2012,13,Entre 10 y 25 años,Sin marca,No,Sin auditor,No,4.0,Grupo Corporativo,2,Participadas,,No consejo,Importador / Exportador,0.0,0.0,0.0,0.0,2052.15487,244.33362,62.70347,10.4505783333333,0.0571057710722689,0.0641474003372855,131.6404,535.91391,1098.023349,1310.585,2690.11607,6,194.34387,De 1 a 5M€,De 1 - 5M€,-0.162188374657119,Decrece,0.119061978982122,0.535058715622179,0.261146913341877,0.176994296320742,32.390645,183.0038915,2024-12-31,2024,748.94189,73.39746,25.86155,1001.48354,827.672347107438,236.90097,415.82665,343.658388429752,11.43082,58.24294,84.10449,822.55786,0.68208193448899,0.31791806551101,3.16141335343625,2.15634293583112,0.656557011592006,De 1 - 5M€,De 1 a 5M€,El comtat,Textil,89.318985,0.11988852524847356,2.408415958909801
